product_title,folder_name,issn_electronic,start_year,end_year,publisher_name,das_required,das_encouraged
Journal of Cannabis Research,,2522-5782,2018,0,BioMed Central,01-May-15,01-May-15
Journal of Carcinogenesis,J_Carcinog,1477-3163,2002,2008,BioMed Central,01-May-15,01-May-15
Journal of Cardiothoracic Surgery,J_Cardiothorac_Surg,1749-8090,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Cardiovascular Magnetic Resonance,J_Cardiovasc_Magn_Reson,1532-429X,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Circadian Rhythms,J_Circadian_Rhythms,1740-3391,2009,2014,BioMed Central,01-May-15,01-May-15
Journal of Clinical Bioinformatics,J_Clin_Bioinforma,2043-9113,2011,2015,BioMed Central,01-May-15,01-May-15
Journal of Clinical Movement Disorders,J_Clin_Mov_Disord,2054-7072,2014,0,BioMed Central,01-May-15,01-May-15
Journal of Compassionate Health Care,J_Compassionate_Health_Care,2053-2393,2014,2018,BioMed Central,01-May-15,01-May-15
Journal of Congenital Cardiology,,2056-7251,2017,0,BioMed Central,01-May-15,01-May-15
Journal of Cotton Research,,2523-3254,2018,0,BioMed Central,01-May-15,01-May-15
Journal of Eating Disorders,J_Eat_Disord,2050-2974,2013,0,BioMed Central,01-May-15,01-May-15
Journal of Ecology and Environment,,2288-1220,2016,0,BioMed Central,01-May-15,01-May-15
Journal of Ethnic Foods,,2352-6181,2019,0,BioMed Central,01-May-15,01-May-15
Journal of Ethnobiology and Ethnomedicine,J_Ethnobiol_Ethnomedicine,1746-4269,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Experimental & Clinical Assisted Reproduction,J_Exp_Clin_Assist_Reprod,1743-1050,2016,0,BioMed Central,01-May-15,01-May-15
Journal of Experimental & Clinical Cancer Research,J_Exp_Clin_Cancer_Res,1756-9966,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Foot and Ankle Research,J_Foot_Ankle_Res,1757-1146,2009,0,BioMed Central,01-May-15,01-Dec-11
"Journal of Health, Population and Nutrition",J_Health_Popul_Nutr,2072-1315,2015,0,BioMed Central,01-May-15,01-May-15
Journal of Hematology & Oncology,J_Hematol_Oncol,1756-8722,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Immune Based Therapies and Vaccines,J_Immune_Based_Ther_Vaccines,1476-8518,2009,2011,BioMed Central,01-May-15,01-May-15
Journal of Inflammation,J_Inflamm_(Lond),1476-9255,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Intensive Care,J_Intensive_Care,2052-0492,2013,0,BioMed Central,01-May-15,01-May-15
Journal of Interventional Neuroradiology,,2047-3729,2012,2012,BioMed Central,01-May-15,01-May-15
Journal of Medical Case Reports,J_Med_Case_Rep,1752-1947,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Molecular Psychiatry,J_Mol_Psychiatry,2049-9256,2012,2017,BioMed Central,01-May-15,01-May-15
Journal of Molecular Signaling,J_Mol_Signal,1750-2187,2009,2014,BioMed Central,01-May-15,01-Nov-12
Journal of Nanobiotechnology,J_Nanobiotechnology,1477-3155,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Negative Results in BioMedicine,J_Negat_Results_Biomed,1477-5751,2009,2017,BioMed Central,01-May-15,01-May-15
Journal of Neurodevelopmental Disorders,J_Neurodev_Disord,1866-1955,2009,0,BioMed Central,01-May-15,01-May-15
Journal of NeuroEngineering and Rehabilitation,J_Neuroeng_Rehabil,1743-0003,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Neuroinflammation,J_Neuroinflammation,1742-2094,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Occupational Medicine and Toxicology,J_Occup_Med_Toxicol,1745-6673,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Orthopaedic Surgery and Research,J_Orthop_Surg_Res,1749-799X,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Otolaryngology - Head & Neck Surgery,J_Otolaryngol_Head_Neck_Surg,1916-0216,2013,0,BioMed Central,01-May-15,01-May-15
Journal of Ovarian Research,J_Ovarian_Res,1757-2215,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Pharmaceutical Health Care and Sciences,J_Pharm_Health_Care_Sci,2055-0294,2015,0,BioMed Central,01-May-15,01-May-15
Journal of Pharmaceutical Policy and Practice,J_Pharm_Policy_Pract,2052-3211,2013,0,BioMed Central,01-May-15,01-May-15
Journal of Physiological Anthropology,J_Physiol_Anthropol,1880-6805,2012,0,BioMed Central,01-May-15,01-May-15
Journal of the International AIDS Society,J_Int_AIDS_Soc,1758-2652,2009,2011,BioMed Central,01-May-15,01-May-15
Journal of the International Society of Sports Nutrition,J_Int_Soc_Sports_Nutr,1550-2783,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Therapeutic Ultrasound,J_Ther_Ultrasound,2050-5736,2013,2018,BioMed Central,01-May-15,01-May-15
Journal of Translational Medicine,J_Transl_Med,1479-5876,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Trauma Management & Outcomes,J_Trauma_Manag_Outcomes,1752-2897,2009,2016,BioMed Central,01-May-15,01-May-15
Journal of Venomous Animals and Toxins including Tropical Diseases,J_Venom_Anim_Toxins_Incl_Trop_Dis,1678-9199,2013,0,BioMed Central,01-May-15,01-May-15
Kidney Disease and Transplantation,,2058-511X,2016,2016,BioMed Central,01-May-15,01-May-15
Kinetoplastid Biology and Disease,Kinetoplastid_Biol_Dis,1475-9292,0,2007,BioMed Central,01-May-15,01-May-15
Laboratory Animal Research,Lab_Anim_Res,2233-7660,2019,0,BioMed Central,01-May-15,01-May-15
Lipids in Health and Disease,Lipids_Health_Dis,1476-511X,2009,0,BioMed Central,01-May-15,01-May-15
Longevity & Healthspan,Longev_Healthspan,2046-2395,2012,2014,BioMed Central,01-May-15,01-Jan-12
Malaria Journal,Malar_J,1475-2875,2009,0,BioMed Central,01-May-15,01-May-15
Marine Biodiversity Records,,1755-2672,2016,0,BioMed Central,01-May-15,01-May-15
"Maternal Health, Neonatology and Perinatology",Matern_Health_Neonatol_Perinatol,2054-958X,2015,0,BioMed Central,01-May-15,01-May-15
Measurement Instruments for the Social Sciences,,2523-8930,2018,0,BioMed Central,01-May-15,01-May-15
Medical Gas Research,Med_Gas_Res,2045-9912,2011,2015,BioMed Central,01-May-15,01-May-15
Medical Immunology,Med_Immunol,1476-9433,2002,2007,BioMed Central,01-May-15,01-May-15
Microbial Cell Factories,Microb_Cell_Fact,1475-2859,2009,0,BioMed Central,01-May-15,01-May-15
Microbial Informatics and Experimentation,Microb_Inform_Exp,2042-5783,2009,2014,BioMed Central,01-May-15,01-May-15
Microbiome,Microbiome,2049-2618,2013,0,BioMed Central,01-May-15,01-May-15
Military Medical Research,Mil_Med_Res,2054-9369,2014,0,BioMed Central,01-May-15,01-May-15
Mobile DNA,Mob_DNA,1759-8753,2009,0,BioMed Central,01-May-15,01-Dec-11
Molecular and Cellular Therapies,Mol_Cell_Ther,2052-8426,2013,2016,BioMed Central,01-May-15,01-May-15
Molecular Autism,Mol_Autism,2040-2392,2009,0,BioMed Central,01-May-15,01-May-15
Molecular Brain,Mol_Brain,1756-6606,2009,0,BioMed Central,01-May-15,01-May-15
Molecular Cancer,Mol_Cancer,1476-4598,2009,0,BioMed Central,01-May-15,01-May-15
Molecular Cytogenetics,Mol_Cytogenet,1755-8166,2009,0,BioMed Central,01-May-15,01-May-15
Molecular Medicine,Mol_Med,1528-3658,2018,0,BioMed Central,01-May-15,01-May-15
Molecular Neurodegeneration,Mol_Neurodegener,1750-1326,2009,0,BioMed Central,01-May-15,01-May-15
Molecular Pain,Mol_Pain,1744-8069,2009,2015,BioMed Central,01-May-15,01-May-15
Movement Ecology,Mov_Ecol,2051-3933,2013,0,BioMed Central,01-May-15,01-May-15
Multidisciplinary Respiratory Medicine,Multidiscip_Respir_Med,2049-6958,2013,0,BioMed Central,01-May-15,01-May-15
Multiple Sclerosis and Demyelinating Disorders,,2056-6115,2015,0,BioMed Central,01-May-15,01-May-15
Neural Development,Neural_Develop,1749-8104,2009,0,BioMed Central,01-May-15,01-May-15
Neural Systems & Circuits,Neural_Syst_Circuits,2042-1001,2009,2012,BioMed Central,01-May-15,01-May-15
NeuroCommons,,2524-4159,2018,0,BioMed Central,01-May-15,01-May-15
Neuroglia,Neuroglia,2050-3997,2012,2013,BioMed Central,01-May-15,01-May-15
Neurological Research and Practice,,2524-3489,2019,0,BioMed Central,01-May-15,01-May-15
NeuroMetals,,2058-1645,2015,2016,BioMed Central,01-May-15,01-May-15
Neuropsychiatric Electrophysiology,Neuropsychiatr_Electrophysiol,2055-4788,2015,2017,BioMed Central,01-May-15,01-May-15
Neurovascular Imaging,Neurovasc_Imaging,2055-5792,2014,2018,BioMed Central,01-May-15,01-May-15
Nonlinear Biomedical Physics,Nonlinear_Biomed_Phys,1753-4631,2009,2012,BioMed Central,01-May-15,01-May-15
Nuclear Receptor,Nucl_Recept,1478-1336,2003,2007,BioMed Central,01-May-15,01-May-15
Nuclear Receptor Signaling,Nucl_Recept_Signal,1550-7629,2014,2014,BioMed Central,01-May-15,01-May-15
Nutrire,,2316-7874,2016,0,BioMed Central,01-May-15,01-May-15
Nutrition & Metabolism,Nutr_Metab_(Lond),1743-7075,2009,0,BioMed Central,01-May-15,01-May-15
Nutrition Journal,Nutr_J,1475-2891,2009,0,BioMed Central,01-May-15,01-May-15
One Health Outlook,,2524-4655,2018,0,BioMed Central,01-May-15,01-May-15
Open Network Biology,,2046-7826,2011,2011,BioMed Central,01-Jul-11,01-Jul-11
Orphanet Journal of Rare Diseases,Orphanet_J_Rare_Dis,1750-1172,2009,0,BioMed Central,01-May-15,01-Mar-12
Osteopathic Medicine and Primary Care,Osteopath_Med_Prim_Care,1750-4732,2009,2010,BioMed Central,01-May-15,01-May-15
Parasites & Vectors,Parasit_Vectors,1756-3305,2009,0,BioMed Central,01-May-15,01-May-15
Particle and Fibre Toxicology,Part_Fibre_Toxicol,1743-8977,2009,0,BioMed Central,01-May-15,01-May-15
PathoGenetics,Pathogenetics,1755-8417,2009,2009,BioMed Central,01-May-15,01-May-15
Patient Safety in Surgery,Patient_Saf_Surg,1754-9493,2009,0,BioMed Central,01-May-15,01-May-15
Pediatric Rheumatology,,1546-0096,2009,0,BioMed Central,01-May-15,01-May-15
Perioperative Medicine,Perioper_Med_(Lond),2047-0525,2012,0,BioMed Central,01-May-15,01-May-15
"Philosophy, Ethics, and Humanities in Medicine",Philos_Ethics_Humanit_Med,1747-5341,2009,0,BioMed Central,01-May-15,01-May-15
Phytopathology Research,,2524-4167,2019,0,BioMed Central,01-May-15,01-May-15
Pilot and Feasibility Studies,Pilot_Feasibility_Stud,2055-5784,2015,0,BioMed Central,01-May-15,01-May-15
Plant Methods,Plant_Methods,1746-4811,2009,0,BioMed Central,01-May-15,01-May-15
PloS Biology,PLoS_Biol,,,,PloS,01-Mar-14,01-Mar-14
PloS Clinical Trials,PLoS_Clin_Trials,,,,PloS,01-Mar-14,01-Mar-14
PloS Computational Biology,PLoS_Comput_Biol,,,,PloS,01-Mar-14,01-Mar-14
PloS Currents,PLoS_Curr,,,,PloS,01-Mar-14,01-Mar-14
PloS Genetics,PLoS_Genet,,,,PloS,01-Mar-14,01-Mar-14
PloS Medicine,PLoS_Med,,,,PloS,01-Mar-14,01-Mar-14
PloS Neglected Tropical Diseases,PLoS_Negl_Trop_Dis,,,,PloS,01-Mar-14,01-Mar-14
PloS One,PLoS_One,,,,PloS,01-Mar-14,01-Mar-14
Plos Pathogens,PLoS_Pathog,,,,PloS,01-Mar-14,01-Mar-14
PMC Biophysics,PMC_Biophys,1757-5036,2009,2010,BioMed Central,01-May-15,01-May-15
PMC Physics A,,1754-0410,2009,2010,BioMed Central,01-May-15,01-May-15
PMC Physics B,,1754-0429,2011,2010,BioMed Central,01-May-15,01-May-15
Pneumonia,Pneumonia,2200-6133,2016,0,BioMed Central,01-May-15,01-May-15
Population Health Metrics,Popul_Health_Metr,1478-7954,2009,0,BioMed Central,01-May-15,01-May-15
Porcine Health Management,Porcine_Health_Manag,2055-5660,2015,0,BioMed Central,01-May-15,01-May-15
Proteome Science,Proteome_Sci,1477-5956,2009,0,BioMed Central,01-May-15,01-May-15
Public Health Reviews,Public_Health_Rev,2107-6952,2015,0,BioMed Central,01-May-15,01-May-15
Radiation Oncology,Radiat_Oncol,1748-717X,2009,0,BioMed Central,01-May-15,01-May-15
Regenerative Medicine Research,Regen_Med_Res,2050-490X,2013,2015,BioMed Central,01-May-15,01-May-15
Renal Replacement Therapy,,2059-1381,2015,0,BioMed Central,01-May-15,01-May-15
Reproductive Biology and Endocrinology,Reprod_Biol_Endocrinol,1477-7827,2009,0,BioMed Central,01-May-15,01-May-15
Reproductive Health,Reprod_Health,1742-4755,2009,0,BioMed Central,01-May-15,01-May-15
Research Integrity and Peer Review,Res_Integr_Peer_Rev,2058-8615,2015,0,BioMed Central,01-May-15,01-May-15
Research Involvement and Engagement,Res_Involv_Engagem,2056-7529,2015,0,BioMed Central,01-May-15,01-May-15
Respiratory Research,Respir_Res,1465-993X,2009,0,BioMed Central,01-May-15,01-May-15
Retrovirology,Retrovirology,1742-4690,2009,0,BioMed Central,01-Nov-11,01-Nov-11
Revista Chilena de Historia Natural,,0717-6317,2014,0,BioMed Central,01-May-15,01-May-15
Safety in Health,,2056-5917,2015,0,BioMed Central,01-May-15,01-May-15
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",Scand_J_Trauma_Resusc_Emerg_Med,1757-7241,2009,0,BioMed Central,01-May-15,01-May-15
Scoliosis and Spinal Disorders,Scoliosis_Spinal_Disord,2397-1789,2016,0,BioMed Central,01-May-15,01-May-15
Sexually Transmited Diseases and Sexual Health,Sex_Transm_Dis,2055-0529,2014,2015,BioMed Central,01-May-15,01-May-15
Signals,,2524-4450,2018,0,BioMed Central,01-May-15,01-May-15
Silence,Silence,1758-907X,2009,2013,BioMed Central,01-Dec-11,01-Dec-11
Skeletal Muscle,Skelet_Muscle,2044-5040,2011,0,BioMed Central,01-May-15,01-May-15
Sleep Science and Practice,,2398-2683,2017,0,BioMed Central,01-May-15,01-May-15
Source Code for Biology and Medicine,Source_Code_Biol_Med,1751-0473,2009,0,BioMed Central,01-May-15,01-May-15
Stem Cell Research & Therapy,Stem_Cell_Res_Ther,1757-6512,2009,0,BioMed Central,01-May-15,01-May-15
"Substance Abuse Treatment, Prevention, and Policy",Subst_Abuse_Treat_Prev_Policy,1747-597X,2009,0,BioMed Central,01-May-15,01-May-15
Surgical and Experimental Pathology,,2520-8454,2018,0,BioMed Central,01-May-15,01-May-15
Sustainable Earth,,2520-8748,2018,0,BioMed Central,01-May-15,01-May-15
Sustainable Environment Research,,2468-2039,2019,0,BioMed Central,01-May-15,01-May-15
Sustainable Healthcare,,2045-998X,0,2011,BioMed Central,01-May-15,01-May-15
Systematic Reviews,Syst_Rev,2046-4053,2012,0,BioMed Central,01-May-15,01-May-15
Theoretical Biology and Medical Modelling,Theor_Biol_Med_Model,1742-4682,2009,0,BioMed Central,01-May-15,01-Jul-13
Thrombosis Journal,Thromb_J,1477-9560,2009,0,BioMed Central,01-May-15,01-May-15
Thyroid Research,Thyroid_Res,1756-6614,2009,0,BioMed Central,01-May-15,01-May-15
Translational Medicine Communications,,2396-832X,2016,0,BioMed Central,01-May-15,01-May-15
Translational Neurodegeneration,,2047-9158,2012,0,BioMed Central,01-May-15,01-May-15
Transplantation Research,Transl_Neurodegener,2047-1440,2012,2016,BioMed Central,01-May-15,01-Feb-12
Trials,Trials,1745-6215,2009,0,BioMed Central,01-May-15,01-May-15
"Tropical Diseases, Travel Medicine and Vaccines",Trop_Dis_Travel_Med_Vaccines,2055-0936,2015,0,BioMed Central,01-May-15,01-May-15
Tropical Medicine and Health,Trop_Med_Health,1349-4147,2016,0,BioMed Central,01-May-15,01-May-15
Urban Transformations,,2524-8162,2019,0,BioMed Central,01-May-15,01-May-15
Vascular Cell,Vasc_Cell,2045-824X,2011,2016,BioMed Central,01-May-15,01-Nov-12
Veterinary Research,Vet_Res,1297-9716,2011,0,BioMed Central,01-May-15,01-May-15
Video Journal of Endoscopic Surgery and Interventional Techniques,,2050-7410,2014,2015,BioMed Central,01-May-15,01-May-15
Virology Journal,Virol_J,1743-422X,2009,0,BioMed Central,01-May-15,01-May-15
Women's Midlife Health,Womens_Midlife_Health,2054-2690,2015,0,BioMed Central,01-May-15,01-May-15
World Allergy Organization Journal,World_Allergy_Organ_J,1939-4551,2013,2018,BioMed Central,01-May-15,01-May-15
World Journal of Emergency Surgery,World_J_Emerg_Surg,1749-7922,2009,0,BioMed Central,01-May-15,01-May-15
World Journal of Surgical Oncology,World_J_Surg_Oncol,1477-7819,2009,0,BioMed Central,01-May-15,01-May-15
Zoological Letters,Zoological_Lett,2056-306X,2015,0,BioMed Central,01-May-15,01-May-15
